. Sequence file : [6t_filtered_min4_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	6   	-105110.70398	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04563   0.06904   0.79720   0.17939  
      	     	          	           	             	                                      	 0.07796  -0.97130   0.02284   0.87050  
      	     	          	           	             	                                      	 0.88438   0.02244  -0.96904   0.06222  
      	     	          	           	             	                                      	 0.17964   0.77190   0.05616  -1.00770  

  #2	6   	-105404.85887	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03557   0.05870   0.79195   0.18491  
      	     	          	           	             	                                      	 0.06629  -0.96730   0.02734   0.87367  
      	     	          	           	             	                                      	 0.87856   0.02685  -0.97126   0.06585  
      	     	          	           	             	                                      	 0.18516   0.77471   0.05944  -1.01932  

  #3	6   	-104831.60682	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05500   0.06286   0.80262   0.18952  
      	     	          	           	             	                                      	 0.07098  -0.95767   0.02186   0.86482  
      	     	          	           	             	                                      	 0.89040   0.02148  -0.97024   0.05837  
      	     	          	           	             	                                      	 0.18978   0.76687   0.05269  -1.00933  

  #4	6   	-105284.73685	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05092   0.05386   0.80101   0.19605  
      	     	          	           	             	                                      	 0.06082  -0.94906   0.03007   0.85817  
      	     	          	           	             	                                      	 0.88861   0.02954  -0.97951   0.06137  
      	     	          	           	             	                                      	 0.19632   0.76096   0.05539  -1.01267  

  #5	6   	-105699.34978	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03940   0.05831   0.78987   0.19122  
      	     	          	           	             	                                      	 0.06584  -0.96151   0.02875   0.86692  
      	     	          	           	             	                                      	 0.87625   0.02825  -0.97134   0.06684  
      	     	          	           	             	                                      	 0.19149   0.76872   0.06033  -1.02054  

  #6	6   	-105270.74068	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04946   0.06632   0.80285   0.18029  
      	     	          	           	             	                                      	 0.07490  -0.96525   0.02447   0.86589  
      	     	          	           	             	                                      	 0.89064   0.02404  -0.97558   0.06090  
      	     	          	           	             	                                      	 0.18054   0.76781   0.05497  -1.00332  

  #7	6   	-105286.32375	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05028   0.06251   0.79262   0.19514  
      	     	          	           	             	                                      	 0.07059  -0.95848   0.02042   0.86747  
      	     	          	           	             	                                      	 0.87930   0.02006  -0.96178   0.06242  
      	     	          	           	             	                                      	 0.19541   0.76922   0.05634  -1.02097  

  #8	6   	-105168.13803	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04667   0.06629   0.79658   0.18380  
      	     	          	           	             	                                      	 0.07486  -0.96419   0.02358   0.86574  
      	     	          	           	             	                                      	 0.88369   0.02317  -0.97187   0.06502  
      	     	          	           	             	                                      	 0.18405   0.76768   0.05869  -1.01042  

  #9	6   	-105158.83350	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03903   0.06005   0.79079   0.18819  
      	     	          	           	             	                                      	 0.06781  -0.96921   0.02771   0.87369  
