. Sequence file : [6t_8p_filtered_min4_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	14   	-726558.99989	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00008   0.05679   0.80577   0.13752  
      	     	          	           	             	                                      	 0.06546  -1.00255   0.02385   0.91324  
      	     	          	           	             	                                      	 0.92029   0.02363  -1.00917   0.06524  
      	     	          	           	             	                                      	 0.13789   0.79449   0.05727  -0.98965  

  #2	14   	-726601.20147	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00286   0.05617   0.80692   0.13978  
      	     	          	           	             	                                      	 0.06474  -1.00025   0.02248   0.91304  
      	     	          	           	             	                                      	 0.92161   0.02228  -1.00751   0.06363  
      	     	          	           	             	                                      	 0.14015   0.79431   0.05586  -0.99032  

  #3	14   	-728234.57451	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99772   0.05846   0.79963   0.13963  
      	     	          	           	             	                                      	 0.06737  -1.00605   0.02441   0.91427  
      	     	          	           	             	                                      	 0.91329   0.02419  -1.00384   0.06636  
      	     	          	           	             	                                      	 0.14000   0.79538   0.05826  -0.99365  

  #4	14   	-727672.51080	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-0.99847   0.05523   0.80286   0.14038  
      	     	          	           	             	                                      	 0.06366  -1.00049   0.02310   0.91374  
      	     	          	           	             	                                      	 0.91697   0.02289  -1.00720   0.06733  
      	     	          	           	             	                                      	 0.14076   0.79492   0.05911  -0.99479  

  #5	14   	-727664.14263	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00458   0.05856   0.80496   0.14107  
      	     	          	           	             	                                      	 0.06749  -0.99938   0.02299   0.90891  
      	     	          	           	             	                                      	 0.91937   0.02278  -1.00740   0.06525  
      	     	          	           	             	                                      	 0.14144   0.79072   0.05728  -0.98944  

  #6	14   	-726471.33297	No         	0.000    	 0.26734   0.23196   0.23407   0.26663	-1.00015   0.05933   0.80485   0.13596  
      	     	          	           	             	                                      	 0.06838  -1.00000   0.02187   0.90974  
      	     	          	           	             	                                      	 0.91925   0.02167  -1.01152   0.07059  
      	     	          	           	             	                                      	 0.13632   0.79145   0.06197  -0.98974  

