"GeneID","CHR","PRODUCT","FREQ","SNP_per_GENE","INS_per_GENE","DEL_per_GENE","INDELS","START","END","LENGTH"
"CTYZ_00000001","Ctyz_8","Uncharacterized protein",4,4,0,0,0,302,1171,869
"CTYZ_00000002","Ctyz_8","putative Secreted Protein",17,17,0,0,0,2368,5136,2768
"CTYZ_00000004","Ctyz_8","putative Secreted Protein",8,8,0,0,0,7310,10231,2921
"CTYZ_00000005","Ctyz_8","putative Secreted Protein",18,18,0,0,0,11696,14341,2645
"CTYZ_00000006","Ctyz_8","putative Secreted Protein",4,4,0,0,0,14743,16248,1505
"CTYZ_00000007","Ctyz_8","Uncharacterized Protein",11,11,0,0,0,16827,17360,533
"CTYZ_00000008","Ctyz_8","Calcineurin-like phosphoesterase",1,1,0,0,0,17875,19146,1271
"CTYZ_00000009","Ctyz_8","Transmembrane amino acid transporter protein",2,2,0,0,0,19604,21013,1409
"CTYZ_00000010","Ctyz_8","Uncharacterized protein",2,2,0,0,0,21216,24059,2843
"CTYZ_00000011","Ctyz_8","Uncharacterized protein",1,1,0,0,0,24449,28189,3740
"CTYZ_00000013","Ctyz_8","Uncharacterized protein",4,4,0,0,0,29445,29546,101
"CTYZ_00000013","Ctyz_8","Uncharacterized protein",4,4,0,0,0,28993,29370,377
"CTYZ_00000015","Ctyz_8","Uncharacterized protein",7,7,0,0,0,32022,35204,3182
"CTYZ_00000017","Ctyz_8","Ubiquitin activating enzyme E1",3,3,0,0,0,38295,39821,1526
"CTYZ_00000018","Ctyz_8","DNA-directed RNA polymerase subunit beta",2,2,0,0,0,40393,44256,3863
"CTYZ_00000019","Ctyz_8","Armadillo-like helical-containing protein",4,4,0,0,0,44291,51742,7451
"CTYZ_00000020","Ctyz_8","Mak5 pre-mRNA splicing RNA SFII helicase",3,3,0,0,0,52135,54531,2396
"CTYZ_00000021","Ctyz_8","Uncharacterized protein",2,2,0,0,0,55351,55595,244
"CTYZ_00000021","Ctyz_8","Uncharacterized protein",2,2,0,0,0,55184,55325,141
"CTYZ_00000022","Ctyz_8","Uncharacterized protein",2,2,0,0,0,56200,59592,3392
"CTYZ_00000024","Ctyz_8","Ubiquitin-conjugating enzyme e2",1,1,0,0,0,61276,61761,485
"CTYZ_00000028","Ctyz_8","Uncharacterized protein",5,5,0,0,0,66838,69201,2363
"CTYZ_00000029","Ctyz_8","Type II pantothenate kinase",1,1,0,0,0,70319,71437,1118
"CTYZ_00000030","Ctyz_8","Uncharacterized protein",1,1,0,0,0,71755,73308,1553
