"","GeneID","CHR","TYPE","PRODUCT","START","END","LENGTH","STRAND","PHASE"
"1","CTYZ_00003985","Ctyz_00_1","gene",NA,995,7201,6206,"+",NA
"2","CTYZ_00003985","Ctyz_00_1","transcript","Uncharacterized protein",995,7201,6206,"+",NA
"3","CTYZ_00003985","Ctyz_00_1","exon","Uncharacterized protein",995,7201,6206,"+",NA
"4","CTYZ_00003985","Ctyz_00_1","CDS","Uncharacterized protein",1070,7198,6128,"+","0"
"5","CTYZ_00003985","Ctyz_00_1","start_codon","Uncharacterized protein",1070,1072,2,"+","0"
"6","CTYZ_00003986","Ctyz_00_2","gene",NA,1924,2756,832,"+",NA
"7","CTYZ_00003986","Ctyz_00_2","transcript","insulinase like peptidase",1924,2756,832,"+",NA
"8","CTYZ_00003986","Ctyz_00_2","exon","insulinase like peptidase",1924,2756,832,"+",NA
"9","CTYZ_00003986","Ctyz_00_2","CDS","insulinase like peptidase",1929,2753,824,"+","0"
"10","CTYZ_00003986","Ctyz_00_2","start_codon","insulinase like peptidase",1929,1931,2,"+","0"
"11","CTYZ_00003986","Ctyz_00_2","stop_codon","insulinase like peptidase",2754,2756,2,"+","0"
"12","CTYZ_00003987","Ctyz_00_2","gene",NA,2937,3516,579,"+",NA
"13","CTYZ_00003987","Ctyz_00_2","transcript","insulinase like peptidase",2937,3516,579,"+",NA
"14","CTYZ_00003987","Ctyz_00_2","exon","insulinase like peptidase",2937,3516,579,"+",NA
"15","CTYZ_00003987","Ctyz_00_2","CDS","insulinase like peptidase",2937,3513,576,"+","0"
"16","CTYZ_00003988","Ctyz_00_3","gene",NA,80,733,653,"-",NA
"17","CTYZ_00003988","Ctyz_00_3","transcript","Uncharacterized Secreted Protein (FLGN gene family)",80,733,653,"-",NA
"18","CTYZ_00003988","Ctyz_00_3","exon","Uncharacterized Secreted Protein (FLGN gene family)",613,733,120,"-",NA
"19","CTYZ_00003988","Ctyz_00_3","exon","Uncharacterized Secreted Protein (FLGN gene family)",80,600,520,"-",NA
"20","CTYZ_00003989","Ctyz_00_3","gene",NA,776,1093,317,"-",NA
"21","CTYZ_00003989","Ctyz_00_3","transcript","Uncharacterized protein",776,1093,317,"-",NA
"22","CTYZ_00003989","Ctyz_00_3","exon","Uncharacterized protein",1055,1093,38,"-",NA
"23","CTYZ_00003989","Ctyz_00_3","exon","Uncharacterized protein",1019,1032,13,"-",NA
"24","CTYZ_00003989","Ctyz_00_3","exon","Uncharacterized protein",776,911,135,"-",NA
"25","CTYZ_00003989","Ctyz_00_3","CDS","Uncharacterized protein",1055,1093,38,"-","0"
"26","CTYZ_00003989","Ctyz_00_3","CDS","Uncharacterized protein",1019,1032,13,"-","0"
"27","CTYZ_00003989","Ctyz_00_3","CDS","Uncharacterized protein",779,911,132,"-","1"
"28","CTYZ_00003989","Ctyz_00_3","start_codon","Uncharacterized protein",1091,1093,2,"-","0"
"29","CTYZ_00003989","Ctyz_00_3","stop_codon","Uncharacterized protein",776,778,2,"-","0"
"30","CTYZ_00003990","Ctyz_00_3","gene",NA,1126,2142,1016,"-",NA
"31","CTYZ_00003990","Ctyz_00_3","transcript","SbmA/BacA-like family (ABC transporter)",1126,2142,1016,"-",NA
"32","CTYZ_00003990","Ctyz_00_3","exon","SbmA/BacA-like family (ABC transporter)",1126,2142,1016,"-",NA
"33","CTYZ_00003990","Ctyz_00_3","CDS","SbmA/BacA-like family (ABC transporter)",1129,2142,1013,"-","0"
"34","CTYZ_00003990","Ctyz_00_3","start_codon","SbmA/BacA-like family (ABC transporter)",2140,2142,2,"-","0"
"35","CTYZ_00003990","Ctyz_00_3","stop_codon","SbmA/BacA-like family (ABC transporter)",1126,1128,2,"-","0"
"36","CTYZ_00003991","Ctyz_00_3","gene",NA,2522,3544,1022,"+",NA
"37","CTYZ_00003991","Ctyz_00_3","transcript","SbmA/BacA-like family (ABC transporter)",2522,3544,1022,"+",NA
"38","CTYZ_00003991","Ctyz_00_3","exon","SbmA/BacA-like family (ABC transporter)",2522,3544,1022,"+",NA
"39","CTYZ_00003991","Ctyz_00_3","CDS","SbmA/BacA-like family (ABC transporter)",2522,3541,1019,"+","0"
"40","CTYZ_00003991","Ctyz_00_3","start_codon","SbmA/BacA-like family (ABC transporter)",2522,2524,2,"+","0"
"41","CTYZ_00003991","Ctyz_00_3","stop_codon","SbmA/BacA-like family (ABC transporter)",3542,3544,2,"+","0"
"42","CTYZ_00003992","Ctyz_00_3","gene",NA,4094,8632,4538,"-",NA
"43","CTYZ_00003992","Ctyz_00_3","transcript","Secreted GGC gene family protein",4094,8632,4538,"-",NA
"44","CTYZ_00003992","Ctyz_00_3","exon","Secreted GGC gene family protein",4094,8632,4538,"-",NA
"45","CTYZ_00003992","Ctyz_00_3","CDS","Secreted GGC gene family protein",4097,8566,4469,"-","0"
"46","CTYZ_00003992","Ctyz_00_3","start_codon","Secreted GGC gene family protein",8564,8566,2,"-","0"
"47","CTYZ_00003992","Ctyz_00_3","stop_codon","Secreted GGC gene family protein",4094,4096,2,"-","0"
"48","CTYZ_00003993","Ctyz_00_3","gene",NA,9180,11399,2219,"+",NA
"49","CTYZ_00003993","Ctyz_00_3","transcript","SAM-dependent methyltransferase RsmB/NOP2-type",9180,11399,2219,"+",NA
"50","CTYZ_00003993","Ctyz_00_3","exon","SAM-dependent methyltransferase RsmB/NOP2-type",9180,11399,2219,"+",NA
"51","CTYZ_00003993","Ctyz_00_3","CDS","SAM-dependent methyltransferase RsmB/NOP2-type",9180,11396,2216,"+","0"
"52","CTYZ_00003993","Ctyz_00_3","start_codon","SAM-dependent methyltransferase RsmB/NOP2-type",9180,9182,2,"+","0"
"53","CTYZ_00003993","Ctyz_00_3","stop_codon","SAM-dependent methyltransferase RsmB/NOP2-type",11397,11399,2,"+","0"
"54","CTYZ_00003994","Ctyz_00_3","gene",NA,11586,12323,737,"-",NA
"55","CTYZ_00003994","Ctyz_00_3","transcript","Glycolipid transfer protein (GLTP)",11586,12323,737,"-",NA
"56","CTYZ_00003994","Ctyz_00_3","exon","Glycolipid transfer protein (GLTP)",11586,12323,737,"-",NA
"57","CTYZ_00003994","Ctyz_00_3","CDS","Glycolipid transfer protein (GLTP)",11589,12323,734,"-","0"
"58","CTYZ_00003994","Ctyz_00_3","start_codon","Glycolipid transfer protein (GLTP)",12321,12323,2,"-","0"
"59","CTYZ_00003994","Ctyz_00_3","stop_codon","Glycolipid transfer protein (GLTP)",11586,11588,2,"-","0"
"60","CTYZ_00003995","Ctyz_00_3","gene",NA,12623,14563,1940,"-",NA
