"GeneID","CHR","PRODUCT","VARIANTS_SUM","SNP_per_GENE","INS_per_GENE","DEL_per_GENE","INDELS","START","END","LENGTH","SNPsPerLENGTH"
"CTYZ_00000998","Ctyz_7","Uncharacterized protein",45,45,0,0,0,886202,887575,1373,0.032774945375091
"CTYZ_00000194","Ctyz_8","Uncharacterized protein",33,33,0,0,0,469041,470138,1097,0.0300820419325433
"CTYZ_00001006","Ctyz_7","Pleiotropic regulator 1",37,37,0,0,0,896801,898063,1262,0.0293185419968304
"CTYZ_00001005","Ctyz_7","2*FF domain containing protein (Phosphopeptide binding)",36,36,0,0,0,895331,896626,1295,0.0277992277992278
"CTYZ_00001003","Ctyz_7","THIF-type NAD/FAD binding fold-containing protein",28,28,0,0,0,892954,893972,1018,0.0275049115913556
"CTYZ_00000991","Ctyz_7","Uncharacterized protein",54,54,0,0,0,870648,872900,2252,0.0239786856127886
"CTYZ_00000992","Ctyz_7","Uncharacterized protein",16,16,0,0,0,873151,873864,713,0.0224403927068724
"CTYZ_00000057","Ctyz_8","Uncharacterized Protein",24,24,0,0,0,122241,123350,1109,0.0216411181244364
"CTYZ_00000996","Ctyz_7","Ubiquitin-like autophagy protein Apg12",10,10,0,0,0,883090,883568,478,0.0209205020920502
"CTYZ_00000007","Ctyz_8","Uncharacterized Protein",11,11,0,0,0,16824,17360,536,0.0205223880597015
"CTYZ_00001002","Ctyz_7","Kinase phosphorylation domain containing protein",10,10,0,0,0,892283,892786,503,0.0198807157057654
"CTYZ_00001004","Ctyz_7","eIF4A-1 eukaryotic translation initiation factor 4A-1 RNA SFII helicase",23,23,0,0,0,894095,895282,1187,0.0193765796124684
"CTYZ_00002714","Ctyz_3","Uncharacterized protein",23,23,0,0,0,21802,22995,1193,0.019279128248114
"CTYZ_00000995","Ctyz_7","putative Secreted Protein",96,96,0,0,0,878096,883093,4997,0.0192115269161497
"CTYZ_00001000","Ctyz_7","Uncharacterized protein",17,17,0,0,0,889199,890092,893,0.019036954087346
"CTYZ_00001598","Ctyz_6","Uncharacterized protein",9,9,0,0,0,914088,914561,473,0.0190274841437632
"CTYZ_00000993","Ctyz_7","Uncharacterized protein",58,58,0,0,0,874091,877297,3206,0.0180910792264504
